sample_id	dph	temperature_C	pH_condition	replicate	experiment	design_type
17C1	1	17	control	1	E1	factorial_2x2
17C2	1	17	control	2	E1	factorial_2x2
17C3	1	17	control	3	E1	factorial_2x2
24C1	1	24	control	1	E1	factorial_2x2
24C2	1	24	control	2	E1	factorial_2x2
24C3	1	24	control	3	E1	factorial_2x2
17H1	1	17	high	1	E1	factorial_2x2
17H2	1	17	high	2	E1	factorial_2x2
17H3	1	17	high	3	E1	factorial_2x2
24H1	1	24	high	1	E1	factorial_2x2
24H2	1	24	high	2	E1	factorial_2x2
24H3	1	24	high	3	E1	factorial_2x2
17C1	10	17	control	1	E2	factorial_2x2
17C2	10	17	control	2	E2	factorial_2x2
17C3	10	17	control	3	E2	factorial_2x2
24C1	10	24	control	1	E2	factorial_2x2
24C2	10	24	control	2	E2	factorial_2x2
24C3	10	24	control	3	E2	factorial_2x2
17H1	10	17	high	1	E2	factorial_2x2
17H2	10	17	high	2	E2	factorial_2x2
17H3	10	17	high	3	E2	factorial_2x2
24H1	10	24	high	1	E2	factorial_2x2
24H2	10	24	high	2	E2	factorial_2x2
24H3	10	24	high	3	E2	factorial_2x2
17C1	10	17	control	1	E3	factorial_3x3
17C2	10	17	control	2	E3	factorial_3x3
17C3	10	17	control	3	E3	factorial_3x3
21C1	10	21	control	1	E3	factorial_3x3
21C2	10	21	control	2	E3	factorial_3x3
21C3	10	21	control	3	E3	factorial_3x3
24C1	10	24	control	1	E3	factorial_3x3
24C2	10	24	control	2	E3	factorial_3x3
24C3	10	24	control	3	E3	factorial_3x3
17H1	10	17	high	1	E3	factorial_3x3
17H2	10	17	high	2	E3	factorial_3x3
17H3	10	17	high	3	E3	factorial_3x3
21H1	10	21	high	1	E3	factorial_3x3
21H2	10	21	high	2	E3	factorial_3x3
21H3	10	21	high	3	E3	factorial_3x3
24H1	10	24	high	1	E3	factorial_3x3
24H2	10	24	high	2	E3	factorial_3x3
24H3	10	24	high	3	E3	factorial_3x3
17VH1	10	17	very_high	1	E3	factorial_3x3
17VH2	10	17	very_high	2	E3	factorial_3x3
17VH3	10	17	very_high	3	E3	factorial_3x3
21VH1	10	21	very_high	1	E3	factorial_3x3
21VH2	10	21	very_high	2	E3	factorial_3x3
21VH3	10	21	very_high	3	E3	factorial_3x3
24VH1	10	24	very_high	1	E3	factorial_3x3
24VH2	10	24	very_high	2	E3	factorial_3x3
24VH3	10	24	very_high	3	E3	factorial_3x3
